#Czech language file for VLC Skin Editor
#Author/s: Jiří Pešek (loveczabijak@gmail.com)

#General strings
CHOICE_YES|Ano
TOOLBAR_PATH|Nástroj na editaci posuvníku 

#Resource Window
WIN_RES_TITLE|Zdroje
WIN_RES_ADD_BMP|Přidat novou Bitmapu nebo SubBitmapu
WIN_RES_ADD_FONT|Přidat nový Font
WIN_RES_COPY|Vytvořit kopii vybraného zdroje
WIN_RES_EDIT|Upravit vybraný zdroj
WIN_RES_DELETE|Smazat vybraný zdroj
WIN_RES_PU_ADD_BMP|Přidat Bitmap/s
WIN_RES_PU_ADD_SBMP|Přidat SubBitmapu
WIN_RES_BITMAPS|Bitmapy
WIN_RES_FONTS|Fonty

#Windows window
WIN_WIN_TITLE|Okna
WIN_WIN_ADD|Přidat nové okno
WIN_WIN_ADD_LAY|Přidat nové rozvržení do vybraného okna
WIN_WIN_MOVE_UP|Přesunout vybrané rozvržení v hierarchii nahoru (poslední rozvržení je výchozí rozvržení pro okno)
WIN_WIN_MOVE_DOWN|Přesunout vybrané rozvržení v hierarchii dolu (poslední rozvržení je výchozí rozvržení pro okno)
WIN_WIN_COPY|Vytvořit kopii vybraného okna nebo rozvržení
WIN_WIN_EDIT|Upravit vybrané okno nebo rozvržení
WIN_WIN_DELETE|Smazat vybrané okno nebo rozvržení

#Items window
WIN_ITEMS_TITLE|Položky
WIN_ITEMS_ADD|Přidat novou položku
WIN_ITEMS_MOVE_UP|Přesunout vybranou položku v hierarchii nahoru
WIN_ITEMS_MOVE_DOWN|Přesunou vybranou položku v hierarchii dolu
WIN_ITEMS_COPY|Vytvořit kopii vybrané položky
WIN_ITEMS_EDIT|Upravit vybranou položku
WIN_ITEMS_DELETE|Smazat vybranou položku
WIN_ITEMS_PU_PANEL_ADD|Přidat do vybraného panelu

#Welcome dialog
WELCOME_TITLE|Vítejte v programu VLC Skin Editor
WELCOME_MSG|Co by jste chtěli dělat?
WELCOME_NEW|Vytvořit nový vzhled
WELCOME_OPEN|Otevřít existující vzhled
WELCOME_QUIT|Konec

#Preferences window
WIN_PREFS_TITLE|Předvolby
WIN_PREFS_UPDATE_L|Povolit automatické aktualizace:
WIN_PREFS_LANG_L|Jazyk:
WIN_PREFS_LAF_L|Program look-and-feel:
WIN_PREFS_TBAR_L|Zobrazit nástrojovou lištu:
WIN_PREFS_RESTART_L|<html><i>Některá nastavení se projeví až po restartu programu.</i></html>

#SubBitmap Edit and Skin Preview window
WIN_SBMP_EDIT_TITLE|Upravit SubBitmapu
ZOOM_FACTOR|Přiblížit faktor:

#Global variables editing window
WIN_VARS_TITLE|Globální proměnné
WIN_VARS_NOTE|<html>Tyto proměnné mají vliv pouze na náhled.<br>Simulují stav VLC.</html>
WIN_VARS_SLIDER|Pozice posuvníku

#Theme options window
WIN_THEME_TITLE|Nastavení vzhledu
WIN_THEME_NAME|Jméno:
WIN_THEME_AUTHOR|Autor:
WIN_THEME_EMAIL|E-Mail autora:
WIN_THEME_WEB|Web autora:
WIN_THEME_MAGNET|Magnet:
WIN_THEME_MAGNET_TIP|Pokud je vzdálenost mezi okraji obrazovky a kotvy okna menší než uvedená tato hodnota, okno se přilepí na hranici
WIN_THEME_ALPHA|Neprůhlednost:
WIN_THEME_ALPHA_TIP|Hodnota musí být mezi 1 (téměř neviditelné) a 255 (neviditelné). Malých hodnot by jste se měly vyhnout.
WIN_THEME_MOVEALPHA|Neprůhlednost při pohybu:
WIN_THEME_MOVEALPHA_TIP|Nastaví alfa průhlednost oken při jejich přemisťování.
WIN_THEME_INFO_TITLE|Informace o tématu
WIN_THEME_ATTR_TITLE|Atributy tématu

#Action Editor
WIN_ACTIONS_TITLE|Upravit akční sekvence

#Popup menu in the action editor
ACTIONS_PU|Akce
ACTIONS_DIALOGS|Zobrazit dialog 
ACTIONS_PLAYLIST|Seznam skladeb
ACTIONS_DVD|DVD
ACTIONS_WINDOWS|Vzhled
ACTIONS_VLC_PLAY|Přehrát
ACTIONS_VLC_PAUSE|Pauza
ACTIONS_VLC_STOP|Stop
ACTIONS_VLC_FASTER|Rychleji
ACTIONS_VLC_SLOWER|Pomaleji
ACTIONS_VLC_MUTE|Ztlumit zvuk
ACTIONS_VLC_VOLUMEUP|Zvýšit hlasitost
ACTIONS_VLC_VOLUMEDOWN|Snížit hlasitost
ACTIONS_VLC_FULLSCREEN|Přepnout do módu celé obrazovky 
ACTIONS_VLC_SNAPSHOT|Udělat snímek
ACTIONS_VLC_ONTOP|Přepínač vždy navrchu
ACTIONS_VLC_MINIMIZE|Minimalizovat VLC
ACTIONS_VLC_QUIT|Ukončit VLC
ACTIONS_EQ_ENABLE|Zapnout ekvalizér
ACTIONS_EQ_DISABLE|Vypnout ekvalizér
ACTIONS_DIALOGS_CHANGESKIN|Změnit vzhled
ACTIONS_DIALOGS_FILESIMPLE|Otevřít soubor (jednoduchý)
ACTIONS_DIALOGS_FILE|Otevřít soubor (rozšířený)
ACTIONS_DIALOGS_DIRECTORY|Otevřít adresář
ACTIONS_DIALOGS_DISC|Otevřít disk
ACTIONS_DIALOGS_NET|Otevřít síťové proud
ACTIONS_DIALOGS_MESSAGES|Zprávy log
ACTIONS_DIALOGS_PREFS|Předvolby
ACTIONS_DIALOGS_FILEINFO|Informace o souboru
ACTIONS_DIALOGS_PLAYLIST|Nestažený seznam skladeb
ACTIONS_DIALOGS_STREAMINGWIZARD|Průvodce prouďení
ACTIONS_DIALOGS_POPUP|Plné vyskakovací menu
ACTIONS_DIALOGS_AUDIOPOPUP|Nastavení zvuku vyskakovací menu
ACTIONS_DIALOGS_VIDEOPOPUP|Nastavení videa vyskakovací menu
ACTIONS_DIALOGS_MISCPOPUP|Smíšené nastavení vyskakovací menu
ACTIONS_PLAYLIST_ADD|Přidat novou položku
ACTIONS_PLAYLIST_DEL|Odebrat vybranou položku
ACTIONS_PLAYLIST_NEXT|Přehrát další položku
ACTIONS_PLAYLIST_PREVIOUS|Přehrát předchozí položku
ACTIONS_PLAYLIST_SETRANDOM|Přehrát náhodně/normálně
ACTIONS_PLAYLIST_SETLOOP|Smyčka/Přehrát jednou
ACTIONS_PLAYLIST_SETREPEAT|Zapnout/Vypnout opakování aktuální položky
ACTIONS_PLAYLIST_SORT|Řadit abecedně
ACTIONS_PLAYLIST_LOAD|Nahrát ze souboru
ACTIONS_PLAYLIST_SAVE|Uložit do souboru
ACTIONS_DVD_NEXTTITLE|Další titul
ACTIONS_DVD_PREVIOUSTITLE|Předchozí titul
ACTIONS_DVD_NEXTCHAPTER|Další kapitola
ACTIONS_DVD_PREVIOUSCHAPTER|Předchozí kapitola
ACTIONS_DVD_ROOTMENU|Hlavní menu
ACTIONS_WINDOWS_SHOW|Zobrazit okno
ACTIONS_WINDOWS_HIDE|Skrýt okno
ACTIONS_WINDOWS_MAXIMIZE|Maximalizovat okno
ACTIONS_WINDOWS_UNMAXIMIZE|Ukončit maximalizaci okna
ACTIONS_WINDOWS_SETLAYOUT|Změnit rozvržení okna

#Action descriptions
ACTION_DESC_NONE|Nedělat nic.
ACTION_DESC_CHANGESKIN|Zobrazit dialogové okno pro načtení nového vzhledu.
ACTION_DESC_FILESIMPLE|Zobrazit jednoduché "Otevřít soubor", dialogové okno.
ACTION_DESC_FILE|Zobrazit rozšířené "Otevřít soubor", dialogové okno.
ACTION_DESC_DIRECTORY|Zobrazit "Otevřít adresář" dialogové okno.
ACTION_DESC_DISC|Zobrazit "Otevřít disk" dialogové okno.
ACTION_DESC_NET|Zobrazit "Otevřeného přístupu k síti proud" dialogové okno.
ACTION_DESC_MSG|Zobrazit zprávy protokolu dialogové okno.
ACTION_DESC_PREFS|Zobrazit v dialogovém okně předvolby.
ACTION_DESC_FILEINFO|Zobrazit informace o souboru dialogového okna.
ACTION_DESC_PLAYLIST|Zobrazit výchozí (nestažených) okno playlistu.
ACTION_DESC_WIZARD|Zobrazit "Průvodce prouďení" dialogové okno.
ACTION_DESC_POPUP|Zobrazit plné vyskakovací okno.
ACTION_DESC_AUDIOPU|Zobrazit nastavení zvuku vyskakovací menu.
ACTION_DESC_VIDEOPU|Zobrazit nastavení videa vyskakovací menu.
ACTION_DESC_MISCPU|Zobrazit vyskakovací menu obsahující ovládání přehrávání a všeobecné volby.
ACTION_DESC_EQENABLE|Zapnout ekvalizér zvukový filtr.
ACTION_DESC_EQDISABLE|Vypnout ekvalizér zvukový filtr.
ACTION_DESC_PLAY|Přehrát aktuální položku v seznamu skladeb.
ACTION_DESC_PAUSE|Pauznout přehrávání.
ACTION_DESC_STOP|Zastavit přehrávání.
ACTION_DESC_FASTER|Rychleji.
ACTION_DESC_SLOWER|Pomaleji.
ACTION_DESC_MUTE|Přepínač ztlumení zvuku.
ACTION_DESC_VOLUP|Zvýšit hlasitost.
ACTION_DESC_VOLDOWN|Snížit hlasitost.
ACTION_DESC_FULLSCREEN|Přepínač režimu celé obrazovky.
ACTION_DESC_SNAPSHOT|Pořídit snímek videa.
ACTION_DESC_ONTOP|Přepínač "Vždy navrchu" stavu.
ACTION_DESC_MIN|Minimalizace VLC.
ACTION_DESC_QUIT|Ukončit VLC.
ACTION_PL_ADD|Přidat novou položku do seznamu skladeb.
ACTION_PL_DEL|Odebrat vybrané položky ze seznamu skladeb.
ACTION_PL_NEXT|Přehrát další položku v seznamu skladeb.
ACTION_PL_PREV|Přehrát předchozí položku v seznamu skladeb..
ACTION_PL_SORT|Řadit seznam skladeb dle abecedy.
ACTION_PL_LOAD|Načíst externí seznam skladeb ze souboru.
ACTION_PL_SAVE|Uložit aktuální seznam skladeb do souboru.
ACTION_DVD_NEXTT|Přejít na další titul DVD.
ACTION_DVD_PREVT|Přejít na předchozí titul DVD.
ACTION_DVD_NEXTC|Přejít na další kapitolu DVD.
ACTION_DVD_PREVC|Přejít na předchozí kapitolu DVD.
ACTION_DVD_MENU|Přejít do hlavního menu DVD.
#%s = Selector with ACTION_ACTIVATE and ACTION_DEACTIVE as choices
#%i = Window ID textfield
#%l = Layout ID textfield
ACTION_ACTIVATE|Aktivovat
ACTION_DEACTIVATE|Deaktivovat
ACTION_RANDOM|%s že položky v seznamu skladeb jsou přehrávány v náhodném pořadí.
ACTION_LOOP|%s že playlist se opakuje, když je dosaženo jeho konce.
ACTION_REPEAT|%s že stávající položka se opakuje po její dokončení.
ACTION_SHOW|Ukázat okno s ID %i
ACTION_HIDE|Skrýt okno s ID %i
ACTION_MAXIMIZE|Maximalizovat okno s ID %i
ACTION_UNMAXIMIZE|Zrušit maximalizaci okna s ID %i
ACTION_LAYOUT|Nastavit rozvržení okna s ID %i to %l

#Slider background generator
SBGGEN_TITLE|Generátor pozadí posuvníku
SBGGEN_PREV|< Předchozí
SBGGEN_NEXT|Další >
SBGGEN_CANCEL|Zrušit
SBGGEN_FINISH|Dokončit

SBGGEN_DESCR|Vítejte v generátoru pozadí posuvníku. To vám pomůže vytvořit elegantní posuvník z vašich obrázků, jen v pár kroků.
SBGGEN_FIRST|Jako první krok si prosím zvolte, zda je posuvník bude zleva doprava nebo zdola nahoru, a jaké velikosti by měl mít na pozadí.
SBGGEN_WIDTH|Šířka:
SBGGEN_HEIGHT|Výška:
SBGGEN_LEFT_M|Levý okraj:
SBGGEN_RIGHT_M|Pravý okraj:
SBGGEN_TOP_M|Horní okraj:
SBGGEN_BTM_M|Dolní okraj:
SBGGEN_SECOND|V následujícím kroku si musíte vybrat správné obrázky (soubory) spojené do různých částí svého posuvníku.
SBGGEN_NOTE|Všimněte si, že ikony jsou jen příklady pro ilustraci toho, co jednotlivé části znamenají. Oni nejsou náhledem snímků, které budou použity na pozadí generace.

SBGGEN_IMAGE|Soubor obrázek:
SBGGEN_OPEN|Otevřít...
SBGGEN_RESIZE|Změna velikosti chování:
SBGGEN_TILE|Dlaždice
SBGGEN_STRETCH|Úsek

SBGGEN_BG|Pozadí
SBGGEN_OVERLAY|Překrytí obrazu
SBGGEN_LEFT_E|Levý okraj
SBGGEN_RIGHT_E|Pravý okraj
SBGGEN_TOP_E|Horní okraj
SBGGEN_BTM_E|Dolní okraj
SBGGEN_MIDDLE|Střední část

SBGGEN_PROGRESS|Generování na pozadí...

#Message dialogues
#%v - verze
ABOUT_TITLE|O programu VLC Skin Editor %v
#%y - rok
#%w - webová stránka
ABOUT_MSG|<html><h3>Copyright 2007-%y The VideoLAN Team</h3>Released under terms of the GPL 2+<br><br><b>Lead programmer:</b> Daniel Dreibrodt (daniel.dreibrodt@googlemail.com)<br><b>Website:</b> %w<br><br><b>Credits:</b><br>Timothy Gerard Endres for registry access and TAR support (Public Domain)<br>The Tango! Desktop Project (http://tango.freedesktop.org) for some icons (Creative Commons BY-SA 2.5)<br>Cyril Deguet (asmax@via.ecp.fr) and Olivier Teuli&egrave;re (ipkiss@via.ecp.fr) for the Boolean Expression Evaluator and Bezier code (GPL 2+)</html>
VLT_EX_TITLE|Import souboru VLT
#%f - jméno složky
VLT_EX_MSG|Soubor VLT bude rozbalen do tzv. podsložky "%f".\nChcete pokračovat v rozbalování?
VLT_EX_YES|Ano, rozbalit
VLT_EX_NO|Ne, zrušit
VLT_EX_PROGRESS|Rozbalování souboru VLT...
XML_PARSING_PROGRESS|Parsování XML...
ADD_BMP_FILE_FILTER_DESC|*.png (Portable Network Graphic) uvnitř adresáře souboru XML
ADD_FONT_FILE_FILTER_DESC|*.otf/*.ttf (Open & True type fonts) adresáře souboru XML
DUPLICATE_MSG|Prosím vložte jiné jméno pro duplikované objekty.\n%oldid% bude nahrazen starší ID objektu.
DEL_CONFIRM_TITLE|Vypuštění potvrzení
DEL_CONFIRM_MSG|Opravdu chcete odstranit "%n"?
EXIT_CONFIRM_TITLE|Vaše úpravy nebyly uloženy
EXIT_CONFIRM_MSG|Chcete uložit váš vzhled před ukončením?
UPDATE_TITLE|Nalezeny aktualizace
UPDATE_MSG|Jsou dostupné nové aktualizace pro Skin Editor.\nVaše verze: %v\nPoslední verze: %c\nChcete nyní nainstalovat aktualizace pro VLC Skin Editor?
VLT_PROGRESS|Vytváření souboru VLT...
VLT_SUCCESS_MSG|Soubor VLT byl úspěšně vytvořen.
VLT_SUCCESS_TITLE|VLT soubor vytvořen
DOWNLOAD_PROGRESS|Stahování...
CONNECT_PROGRESS|Připojování...
UPDATE_SUCCESS_TITLE|Dokončení
UPDATE_SUCCESS_MSG|Aktualizace byly úspěšně staženy a nainstalovány.\nVLC Skin Editor se nyní restartuje

#Error messages
ERROR_FILENEXIST_TITLE|Chyba při otevírání souboru
ERROR_FILENEXIST_MSG|Soubor "%f" neexistuje a tak nemůže být otevřen!
ERROR_VLT_UNPACK_TITLE|Nepodařilo se rozbalit soubor VLT
ERROR_VLT_UNPACK_MSG|VLT soubor nelze rozbalit!
ERROR_VLT_NOTHEME_TITLE|Nelze najít theme.xml
ERROR_VLT_NOTHEME_MSG|Nelze najít "theme.xml" uvnitř rozbalit obsah souboru VLT.\nZkuste otevřít manuálně.
ERROR_VLC_LAUNCH_TITLE|Chyba
ERROR_VLC_LAUNCH_MSG|VLC media player nemohl být spuštěn
ERROR_BROWSE_TITLE|Prohlížeč nemohl být spuštěn
ERROR_BROWSE_MSG|Prohlížeč nemohl být spuštěn.\nPřejděte na následující adresu URL ručně:\n%u
ERROR_ADD_SBMP_TITLE|Nelze přidat SubBitmapa
ERROR_ADD_SBMP_NOBMP|Nebyl vybrán žádný zdroj Bitmapy!
ERROR_ADD_SBMP_NOTBMP|Vybraný zdroj není Bitmapa!
ERROR_RES_DEL_TITLE|Zdroj nelze vymazat
ERROR_RES_DEL_INUSE|Zdroj je ještě použit ve vzhledu, a tak nemůže být zrušen.
ERROR_ADD_LAYOUT_TITLE|Nelze přidat rozvržení
ERROR_ADD_LAYOUT_MSG|Žádný zdroj vybraného okna!
ERROR_UPDATE_TITLE|Chyba při aktualizaci!
ERROR_SAVEPNG_TITLE|Chyba pri ukládání obrázku
ERROR_SAVEPNG_MSG|Nelze uložit obrázek.
ERROR_NEWSKIN_TITLE|Chyba při vytváření nového souboru vzhledu!
ERROR_NEWSKIN_MSG|Nový soubor vzhledu nemohl být vytvořen.
ERROR_HEADER_INVALID|Soubor se nezdá být platné VLC téma!\nNeplatné hlavičky:
ERROR_SKIN_INVALID|Vybraný soubor není platný soubor vzhledu VLC!
ERROR_VERSION_UNSUPPORTED|Verze použitého motivu není zatím podporována!
ERROR_SAVE_TITLE|Chyba při ukládání souboru vzhledu!
ERROR_SAVE_MSG|Soubor vzhledu nelze uložit.
ERROR_ALPHA_TITLE|Neprůhlednost hodnota není platná
ERROR_ALPHA_MSG|Zadejte prosím platnou neprůhlednost! (0-255)
ERROR_SBGGEN_MIDDLE_MSG|Nelze načíst střed obrazu!\nPotřebná je alespoň střední část posuvníku k vytvoření posuvníku na pozadí.
ERROR_VLT_TITLE|Nelze vytvořit soubor VLT
ERROR_VLT_MSG|VLT soubor nelze vytvořit!
ERROR_ID_INVALID_TITLE|ID není platné
ERROR_ID_INVALID_MSG|Zadejte prosím platný ID!
ERROR_ID_EXISTS_MSG|ID "%i" již existuje.\nProsím vyberte jinou.
ERROR_WIDTH_INVALID_TITLE|Šířka není platná
ERROR_WIDTH_INVALID_MSG|Prosím vložte platnou šířku!
ERROR_HEIGHT_INVALID_TITLE|Výška není platná
ERROR_HEIGHT_INVALID_MSG|Prosím vložte platnou výšku!
ERROR_FILE_INVALID_TITLE|Neplatný soubor
ERROR_FILE_INVALID_MSG|Prosím vyberte platný soubor!
ERROR_BITMAP_INVALID_MSG|Daný soubor bitmapy nelze načíst!\nProsím vyberte jiný.
ERROR_NBFRAMES_TITLE|Neplatné číslo rámů
ERROR_NBFRAMES_MSG|Počet rámů nesmí být menší než 1
ERROR_OTF_TITLE|OTF není podporován
ERROR_OTF_MSG|Vybrali jste font OpenType, VLC to zobrazí správně ale Skin Editor to zobrazit neumí.\nBudete se muset podívat po jiném fontu v náhledu.
ERROR_SIZE_INVALID_TITLE|Neplatná velikost
ERROR_SIZE_INVALID_MSG|Zadejte prosím platnou velikost.
ERROR_OUTSIDE_TITLE|Rozměry nejsou platné
ERROR_OUTSIDE_MSG|Předepsané rozměry jsou mimo zdrojové bitmapy!
ERROR_BITMAP_NEXIST|Bitmapa %i neexistuje.
ERROR_BITMAP_NEXIST_TITLE|Obrázek je neplatný!
ERROR_BITMAP_LOAD|Soubor obrázku pro bitmapu %i se nemohla načíst.
ERROR_BITMAP_LOAD_TITLE|Chyba při načítání obrázků
ERROR_NOSTATE|Prosím uveďte stav!
ERROR_NOSTATE_TITLE|Stav je neplatný
ERROR_FONT_NEXIST|Font %i neexistuje.
ERROR_FONT_NEXIST_TITLE|Font je neplatný!
ERROR_POINTS_INVALID|Zadejte prosím platné Bézierovy body!
ERROR_POINTS_INVALID_TITLE|Body nejsou platné!
ERROR_RADIALSLIDER|Paprskovité posuvníky nejsou ještě podporovány programem Skin Editor.
ERROR_RADIALSLIDER_TITLE|Nepodporováno

#Other strings
THEMEINFO_NAME_DEFAULT|Nepojmenované téma
THEMEINFO_AUTHOR_DEFAULT|Neznámí autor
THEMEINFO_EMAIL_DEFAULT|Neznámé

#History
HIST_ITEM_ADD|Přidat %t
HIST_ITEM_DEL|Smazat %t
HIST_ITEM_EDIT|Upravit %t
HIST_ITEM_MOVE|Přesunout %t
HIST_RES_DEL|Smazat %t "%i"

#Editing dialogues
#General strings
NOTE_STARRED|* Attribute must be specified.

#Common strings
WIN_ITEM_GENERAL|Obecné atributy
WIN_ITEM_ID|ID*:
WIN_ITEM_ID_TIP|Jméno a indentifikace %t. Musí být unikátní.
WIN_ITEM_X|X:
WIN_ITEM_Y|Y:
WIN_ITEM_WIDTH|Šířka:
WIN_ITEM_HEIGHT|Výška:
WIN_ITEM_VISIBLE|Viditelnost:
WIN_ITEM_LEFTTOP|Levý horní roh:
WIN_ITEM_LEFTTOP_TIP|Indicate to which corner of the Layout the top-left-hand corner of this item is attached to, in case of resizing.
WIN_ITEM_RIGHTBOTTOM|Pravý dolní roh:
WIN_ITEM_RIGHTBOTTOM_TIP|Indicate to which corner of the Layout the bottom-right-hand corner of this item is attached to, in case of resizing.
WIN_ITEM_XKEEPRATIO|Držte X poměr:
WIN_ITEM_XKEEPRATIO_TIP|Při nastavení na hodnotu true, se změní chování horizontální velikosti. For example, if initially the space to the left of the control is twice as big as the one to its right, this will stay the same during any horizontal resizing. The width of the control stays constant.
WIN_ITEM_YKEEPRATIO|Držte Y poměr:
WIN_ITEM_YKEEPRATIO_TIP|Při nastavení na hodnotu true, chování svislé velikosti se změní. For example, if initially the space to the top of the control is twice as big as the one to its bottom, this will stay the same during any vertical resizing. The height of the control stays constant.
WIN_ITEM_HELP|Nápověda:
WIN_ITEM_HELP_TIP|Proměnné '$H' bude rozšířena o tuto hodnotu, když myš pohybuje aktuálním ovládacím prvkem.
WIN_ITEM_TOOLTIPTEXT|Tip:
FILE_INDIR|ve stejné složce jako soubor XML

#Bitmap
WIN_BITMAP_TITLE|Nastavení bitmapy
WIN_BITMAP_FILE|Soubor*:
WIN_BITMAP_FILE_TIP|Označuje cestu a název použitého obrazového souboru.
WIN_BITMAP_OPEN|Otevřít...
WIN_BITMAP_ALPHACOLOR|Alphacolor:
WIN_BITMAP_ALPHACOLOR_TIP|Průhlednost barvy bitmapy v hexadecimálním formátu. Pokud váš PNG soubor určuje průhlednost masky, bude to třeba vzít také v úvahu .
WIN_BITMAP_CHOOSE|Zvolit...
WIN_BITMAP_NBFRAMES|Počet rámů:
WIN_BITMAP_NBFRAMES_TIP|Tento atribut je potřeba k definování animované bitmapy; to znamená počet snímků (obrázků), obsažené ve vaší animaci. Všechny snímky jsou různé jen podle svislé bitmapy.
WIN_BITMAP_FPS|Snímků za sekundu:
WIN_BITMAP_FPS_TIP|Používá se jen v animované bitmapě; to znamená počet snímků (obrázků) za sekundu animace.
WIN_BITMAP_ANIMATION|Atributy animace
WIN_BITMAP_CHOOSER_TITLE|Zvolit alphacolor

#SubBitmap
WIN_SBMP_TITLE|Nastavení SubBitmap
WIN_SBMP_BOUNDS|Atributy pozice a  dimenze

#Font
WIN_FONT_TITLE|Nastavení Fontů
WIN_FONT_FILE|Soubor*:
WIN_FONT_FILE_TIP|Soubor obsahující použité TrueType or OpenType font.
WIN_FONT_OPEN|Otevřít...
WIN_FONT_SIZE|Velikost:

#Layout
WIN_LAYOUT_TITLE|Nastavení rovržení
WIN_LAYOUT_GENERAL|Všeobecné atributy
WIN_LAYOUT_DIMENSIONS|Dimenze
WIN_LAYOUT_WIDTH|Původní šířky*:
WIN_LAYOUT_WIDTH_TIP|Počáteční šířka rozvržení.
WIN_LAYOUT_HEIGHT|Počáteční výška*:
WIN_LAYOUT_HEIGHT_TIP|Počáteční výška rozvržení.
WIN_LAYOUT_MINWIDTH|Minimální šířka:
WIN_LAYOUT_MINWIDTH_TIP|Minimální šířka rozložení. Používá se jen při změně velikosti rozvržení. Pokud je tato hodnota nastavena na "-1", původní šířka bude použita jako minimální šířka.
WIN_LAYOUT_MINHEIGHT|Minimální výška:
WIN_LAYOUT_MINHEIGHT_TIP|Minimální výška rozvržení. Používá se jen při změně velikosti rozvržení. Pokud je tato hodnota nastavena na "-1", počáteční výška bude použita jako minimální výška.
WIN_LAYOUT_MAXWIDTH|Maximální šířka:
WIN_LAYOUT_MAXWIDTH_TIP|Maximální šířka rozvržení. Používá se jen při změně velikosti rozvržení. Pokud je tato hodnota nastavena na "-1", původní šířka bude použita jako maximální šířka.
WIN_LAYOUT_MAXHEIGHT|Maximální výška:
WIN_LAYOUT_MAXHEIGHT_TIP|Maximální výška rozvržení. Používá se jen při změně velikosti rozvržení. Pokud je tato hodnota nastavena na "-1", počáteční výška bude použita jako maximální výšku.

#Window
WIN_WINDOW_TITLE|Nastavení okna
WIN_WINDOW_X_TIP|Počáteční vzdálenost okna k levému okraji obrazovky.
WIN_WINDOW_Y_TIP|Počáteční vzdálenost z okna na horní okraj obrazovky.
WIN_WINDOW_VISIBLE_TIP|Označuje, zda by se mělo objevit okno VLC. Vzhledem k tomu, VLC si pamatuje vzhled okna umístění a viditelnost, bude tento atribut použit pouze poprvé.
WIN_WINDOW_DD|Drag and drop:
WIN_WINDOW_DD_TIP|Označuje, zda je v aktuálním okně povolena funkce drag and drop.
WIN_WINDOW_PD|Hrát na pokles:
WIN_WINDOW_PD_TIP|Indicates whether a dropped file is played directly (true) or only enqueued (false). This attribute has no effect if dragdrop is set to "false".
WIN_WINDOW_DD_PANEL|Nastavení drag and drop

#Anchor
WIN_ANCHOR_TITLE|Nastavení kotvy
WIN_ANCHOR_POINTS|Body:
WIN_ANCHOR_POINTS_TIP|Body definující Bézierovy křivky následované kotvou. Tento parametr nemusíte měnit, pokud vše co chete je bodová kotva. 
WIN_ANCHOR_RANGE|Rozsah:
WIN_ANCHOR_RANGE_TIP|Rozsah kotvy je oblast účinku, v pixelech.
WIN_ANCHOR_PRIORITY|Priorita*:
