#French language file for VLC Skin Editor
#Author/s: Alex64

#General strings
CHOICE_YES|Oui
ACTIONS_VLC_MUTE|Couper le son
ACTIONS_VLC_VOLUMEUP|Augmenter le volume
ACTIONS_VLC_VOLUMEDOWN|Réduire le volume
ACTIONS_VLC_FULLSCREEN|Basculer en mode plein écran
ACTIONS_VLC_SNAPSHOT|Prendre une photo
ACTIONS_VLC_ONTOP|Toujours au premier plan
ACTIONS_VLC_MINIMIZE|Réduire VLC
ACTIONS_VLC_QUIT|Quitter VLC
ACTIONS_EQ_ENABLE|Activer l'Egaliseur
ACTIONS_EQ_DISABLE|Désactiver l'Egaliseur
ACTIONS_DIALOGS_CHANGESKIN|Changer de Skin
ACTIONS_DIALOGS_FILESIMPLE|Ouvrir un fichier (simple)
ACTIONS_DIALOGS_FILE|Ouvrir un fichier (avancé)
ACTIONS_DIALOGS_DIRECTORY|Ouvrir un dossier
ACTIONS_DIALOGS_DISC|Ouvrir un disque
ACTIONS_DIALOGS_NET|Ouvrir un flux réseau
ACTIONS_DIALOGS_MESSAGES|Journal des messages
ACTIONS_DIALOGS_PREFS|Préférences
ACTIONS_DIALOGS_FILEINFO|Information du fichier
ACTIONS_DIALOGS_PLAYLIST|Liste de lecture non skinnée
ACTIONS_DIALOGS_STREAMINGWIZARD|Assistant de Flux
ACTIONS_DIALOGS_POPUP|Menu complet
ACTIONS_DIALOGS_AUDIOPOPUP|Menu de paramètres audio
ACTIONS_DIALOGS_VIDEOPOPUP|Menu de paramètres vidéo
ACTIONS_DIALOGS_MISCPOPUP|Divers
ACTIONS_PLAYLIST_ADD|Ajouter un nouvel élément
ACTIONS_PLAYLIST_DEL|Retirer l'élément sélectionné
ACTIONS_PLAYLIST_NEXT|Ecouter l'élément suivant
ACTIONS_PLAYLIST_PREVIOUS|Ecouter l'élément précédent
ACTIONS_PLAYLIST_SETRANDOM|Ecouter en ordre aléatoire/normal
ACTIONS_PLAYLIST_SETLOOP|Lire en boucle/une fois
ACTIONS_PLAYLIST_SETREPEAT|Activer/désactiver la répétition de l'élément actuel
ACTIONS_PLAYLIST_SORT|Ordre alphabétique
ACTIONS_PLAYLIST_LOAD|Charger à partir d'un fichier
ACTIONS_PLAYLIST_SAVE|Sauvegarder dans un fichier
ACTIONS_DVD_NEXTTITLE|Titre suivant
ACTIONS_DVD_PREVIOUSTITLE|Titre précédent
ACTIONS_DVD_NEXTCHAPTER|Chapitre suivant
ACTIONS_DVD_PREVIOUSCHAPTER|Chapitre précédent
ACTIONS_DVD_ROOTMENU|Menu principal
ACTIONS_WINDOWS_SHOW|Afficher une fenêtre
ACTIONS_WINDOWS_HIDE|Masquer une fenêtre
ACTIONS_WINDOWS_MAXIMIZE|Agrandir une fenêtre
ACTIONS_WINDOWS_UNMAXIMIZE|Désagrandir une fenêtre
ACTIONS_WINDOWS_SETLAYOUT|Modifier la structure d'une fenêtre

#Action descriptions
ACTION_DESC_NONE|Ne rien faire.
ACTION_DESC_CHANGESKIN|Afficher une boîte de dialogue pour charger un nouveau Skin.
ACTION_DESC_FILESIMPLE|Afficher une boîte de dialogue "Ouvrir un Fichier" simple.
ACTION_DESC_FILE|Afficher une boîte de dialogue "Ouvrir un Fichier" avancée.
ACTION_DESC_DIRECTORY|Afficher une boîte de dialogue "Ouvrir un Dossier".
ACTION_DESC_DISC|Afficher une boîte de dialogue "Ouvrir un Disque".
ACTION_DESC_NET|Afficher une boîte de dialogue "Ouvrir un Flux de Réseau".
ACTION_DESC_MSG|Afficher la boîte de dialogue du journal des messages.
ACTION_DESC_PREFS|Afficher la boîte de dialogue des préférences.
ACTION_DESC_FILEINFO|Afficher la boîte de dialogue information.
ACTION_DESC_PLAYLIST|Afficher la fenêtre (non-skinnée) de la liste de lecture.
ACTION_DESC_WIZARD|Afficher la boîte de dialogue "Assistant de Flux".
ACTION_DESC_POPUP|Afficher le menu clic-droit complet.
ACTION_DESC_AUDIOPU|Afficher le menu des paramètres audio.
ACTION_DESC_VIDEOPU|Afficher le menu des paramètres vidéo.
ACTION_DESC_MISCPU|Afficher un menu  contenant le contrôle de lecture et les options générales.
ACTION_DESC_EQENABLE|Activer le filtre de l'égaliseur audio.
ACTION_DESC_EQDISABLE|D&sactiver le filtre de l'égaliseur audio.
ACTION_DESC_PLAY|Ecouter l'élément de la liste de lecture actuel.
ACTION_DESC_PAUSE|Pause de la lecture.
ACTION_DESC_STOP|Arrêter la lecture.
ACTION_DESC_FASTER|Lire + vite.
ACTION_DESC_SLOWER|Lire - vite.
ACTION_DESC_MUTE|Couper le son.
ACTION_DESC_VOLUP|Augmenter le volume.
ACTION_DESC_VOLDOWN|Réduire le volume.
ACTION_DESC_FULLSCREEN|Passer en mode plein écran.
ACTION_DESC_SNAPSHOT|Prendre unu photo de la vidéo.
ACTION_DESC_ONTOP|Passer en mode "Toujours au premier plan".
ACTION_DESC_MIN|Réduire VLC.
ACTION_DESC_QUIT|Quitter VLC.
ACTION_PL_ADD|Ajouter un nouvel élément à la liste de lecture.
ACTION_PL_DEL|Enlever l'élément de la liste de lecture.
ACTION_PL_NEXT|Ecouter l'élément suivant de la liste de lecture.
ACTION_PL_PREV|Ecouter l'élémentt précédent de la liste de lecture.
ACTION_PL_SORT|Trier la liste de lecture alphabétiquement.
ACTION_PL_LOAD|Charger une liste de lecture externe.
ACTION_PL_SAVE|Sauvegarder la liste de lecture dans un fichier.
ACTION_DVD_NEXTT|Aller au titre suivant sur le DVD.
ACTION_DVD_PREVT|Aller au titre précédent sur le DVD.
ACTION_DVD_NEXTC|Aller au chapitre suivant sur le DVD.
ACTION_DVD_PREVC|Aller aue chapitre précédent sur le DVD.
ACTION_DVD_MENU|Aller au menu racine du DVD.
#%s = Selector with ACTION_ACTIVATE and ACTION_DEACTIVE as choices
#%i = Window ID textfield
#%l = Structure ID textfield
ACTION_ACTIVATE|Activer
ACTION_DEACTIVATE|Désactiver
ACTION_RANDOM|%s indique un ordre de lecture aléatoire.
ACTION_LOOP|%s indique la lecture de la liste de lecture est répétée.
ACTION_REPEAT|%s indique que l'élément actuel est répété
ACTION_Montre|Affiche la fenêtre ayant l'ID %i
ACTION_HIDE|Masque la fenêtre ayant l'ID %i
ACTION_MAXIMIZE|Agrandit la fenêtre ayant l'ID %i
ACTION_UNMAXIMIZE|Désagrandit la fenêtre ayant l'ID %i
ACTION_LAYOUT|Change la Structure de la fenêtre ayant l'ID %i à %l

#Slider background generator
SBGGEN_TITLE|Générateur d'Arrière-Plan de Curseur
SBGGEN_PREV|< Précédent
SBGGEN_NEXT|Suivant >
SBGGEN_CANCEL|Annuler
SBGGEN_FINISH|Finir

SBGGEN_DESCR|Bienvenue dans le générateur de arrière-plan de curseur. Il vous aidera à créer un curseur soigné de vos images, en seulement quelques étapes.
SBGGEN_FIRST|Pour commencer, choisir la direction du curseur, s'il va de gauche à droite ou de bas en haut, et la taille qu'il doit avoir.
SBGGEN_WIDTH|Largeur:
SBGGEN_HEIGHT|Hauteur:
SBGGEN_LEFT_M|Marge gauche:
SBGGEN_RIGHT_M|Marge droite:
SBGGEN_TOP_M|Marge haute:
SBGGEN_BTM_M|Marge basse:
SBGGEN_SECOND|Dans l'étape suivante, vous devez choisir les fichier image corrects associés aux différentes parties de votre curseur.
SBGGEN_NOTE|Notez que les icônes ne sont que des exemples pour illustrer ce que représentent les différentes parties. Ils ne sont pas un aperçu des images qui seront utilisées pour générer un arrière-plan.

SBGGEN_IMAGE|Fichier image:
SBGGEN_OPEN|Ouvrir...
SBGGEN_RESIZE|Réaction à la redimension:
SBGGEN_TILE|Mosaïque
SBGGEN_STRETCH|Etiré

SBGGEN_BG|Arrière-Plan
SBGGEN_OVERLAY|Superposition d'image
SBGGEN_LEFT_E|Bord gauche
SBGGEN_RIGHT_E|Bord droit
SBGGEN_TOP_E|Bord supérieur
SBGGEN_BTM_E|Bord inférieur
SBGGEN_MIDDLE|Milieu

SBGGEN_PROGRESS|Génération de l'Arrière-Plan...

#Message dialogues
#%v - version
ABOUT_TITLE|A propos de VLC Skin Editor %v
#%y - current year
#%w - website
ABOUT_MSG|<html><h3>Copyright 2007-%y L'Équipe de VideoLAN </h3>Paru sous les condictions GPL 2+<br><br><b>Programmeur principal:</b> Daniel Dreibrodt (daniel.dreibrodt@googlemail.com)<br><b>Site Web:</b> %w<br><br><b>Crédits:</b><br>Timothy Gerard Endres pour l'accès au registre et le support TAR (Domaine Publique)<br>Le Tango! Desktop Project (http://tango.freedesktop.org) pour certaines icônes (Creative Commons BY-SA 2.5)<br>Cyril Deguet (asmax@via.ecp.fr) et Olivier Teuli&egrave;re (ipkiss@via.ecp.fr) Pour l'Évaluateur d'Expression Booléenne et le code Bezier (GPL 2+)</html>
VLT_EX_TITLE|Importer un fichier VLT
#%f - nom du dossier
VLT_EX_MSG|Le fichier VLT sera décompressé dans un sous-dossier appelé "%f".\nVoulez-vous continuer ?
VLT_EX_YES|Oui, décompresser
VLT_EX_NO|Non, annuler
VLT_EX_PROGRESS|Décompression du fichier VLT...
XML_PARSING_PROGRESS|Analyse le document XML...
ADD_BMP_FILE_FILTER_DESC|*.png (Portable Network Graphic) dans le dossier du fichier XML
ADD_FONT_FILE_FILTER_DESC|*.otf/*.ttf (Open & True type fonts) dans le dossier du fichier XML
DUPLICATE_MSG|Merci d'entrer un  modèle de renommage des fichiers en double.\n%oldid% sera remplacé par l'ancien ID de l'objet.
DEL_CONFIRM_TITLE|confirmation de la suppression
DEL_CONFIRM_MSG|Êtes-vous sûr de vouloir supprimer "%n" ?
EXIT_CONFIRM_TITLE|Vos modifications n'ont pas été enregistrées
EXIT_CONFIRM_MSG|Voulez-vous sauvegarder votre Skin avant de quitter ?
UPDATE_TITLE|Mise à jour trouvée
UPDATE_MSG|Il y a une mise à jour disponible pour Skin Editor.\nVotre version: %v\nDernière version: %c\nVoulez-vous mettre à jour Skin Editor maintenant ?
VLT_PROGRESS|Création du fichier VLT...
VLT_SUCCESS_MSG|Le fichier VLT a été créé avec succès.
VLT_SUCCESS_TITLE|Fichier VLT créé
DOWNLOAD_PROGRESS|Téléchargement...
CONNECT_PROGRESS|Connexion...
UPDATE_SUCCESS_TITLE|Mise à jour terminée
UPDATE_SUCCESS_MSG|La mise à jour a été téléchargée et installée.\nVLC Skin Editor va redémarrer maintenant

#Error messages
ERROR_FILENEXIST_TITLE|Erreur à l'ouverture du fichier
ERROR_FILENEXIST_MSG|Le fichier "%f" n'existe pas et ne peut donc pas être ouvert !
ERROR_VLT_UNPACK_TITLE|Impossible de décompresser le fichier VLT
ERROR_VLT_UNPACK_MSG|Le fichier VLT n'a pas pu être décompressé !
ERROR_VLT_NOTHEME_TITLE|Impossible de trouver theme.xml
ERROR_VLT_NOTHEME_MSG|Impossible de trouver "theme.xml" dans le contenu du fichier VLT décompressé.\nEssayez de l'ouvrir manuellement.
ERROR_VLC_LAUNCH_TITLE|Erreur
ERROR_VLC_LAUNCH_MSG|VLC media player n'a pas pu être lancé
ERROR_BROWSE_TITLE|Impossible de lancer le Navigateur
ERROR_BROWSE_MSG|Le navigateur n'a pas pu être lancé.\nVeuillez aller à l'URL suivante manuellement:\n%u
ERROR_ADD_SBMP_TITLE|Impossible d'ajouter un SousBitmap
ERROR_ADD_SBMP_NOBMP|Aucun Bitmap parent n'a été choisi !
ERROR_ADD_SBMP_NOTBMP|La ressource sélectionnée n'est pas un Bitmap !
ERROR_RES_DEL_TITLE|Impossible de supprimer la ressource
ERROR_RES_DEL_INUSE|Les ressources sont encore utilisées dans le Skin, elles ne peuvent donc être supprimées.
ERROR_ADD_LAYOUT_TITLE|Impossible d'ajouter la structure
ERROR_ADD_LAYOUT_MSG|Pas de fenêtre parente sélectionnée !
ERROR_UPDATE_TITLE|Erreur lors de la mise à jour !
ERROR_SAVEPNG_TITLE|Erreur lors de la sauvegarde de l'image
ERROR_SAVEPNG_MSG|Impossible de sauvegarder l'image.
ERROR_NEWSKIN_TITLE|Erreur lors de la création du nouveau fichier Skin !
ERROR_NEWSKIN_MSG|Le nouveau fichier Skin ne peut être créé.
ERROR_HEADER_INVALID|Le fichier ne semble pas être un thème VLC valide!\nEntête invalide:
ERROR_SKIN_INVALID|Le fichier sélectionné n'est pas un fichier Skin VLC valide !
ERROR_VERSION_UNSUPPORTED|La version du thème utilisé dans le Skin choisi n'est pas encore supporté !
ERROR_SAVE_TITLE|Erreur lors de la sauvegarde du fichier Skin !
ERROR_SAVE_MSG|Le fichier Skin n'a pas pu être sauvegardé.
ERROR_ALPHA_TITLE|Valeur de transparence non valide
ERROR_ALPHA_MSG|Veuillez entrer une transparence valide! (0-255)
ERROR_SBGGEN_MIDDLE_MSG|Impossible de charger l'image du milieu !\nIl faut au moins la partie centrale du Curseur pour générer un arrière-plan.
ERROR_VLT_TITLE|Impossible de créer le fichier VLT
ERROR_VLT_MSG|Le fichier VLT n'a pas pu être créé !
ERROR_ID_INVALID_TITLE|ID non valide
ERROR_ID_INVALID_MSG|Veuillez entrer une ID valide !
ERROR_ID_EXISTS_MSG|L'ID "%i" existe déjà.\nVeuillez en choisir un autre.
ERROR_WIDTH_INVALID_TITLE|Largeur non valide
ERROR_WIDTH_INVALID_MSG|Veuillez entrer une largeur valide !
ERROR_HEIGHT_INVALID_TITLE|Hauteur non valide
ERROR_HEIGHT_INVALID_MSG|Veuillez entrer une hauteur valide !
ERROR_FILE_INVALID_TITLE|Fichier non valide
ERROR_FILE_INVALID_MSG|Veuillez choisir un fichier valide !
ERROR_BITMAP_INVALID_MSG|Le fichier Bitmap  ne peut être chargé !\nVeuillez en choisir un autre.
ERROR_NBFRAMES_TITLE|Nombre de cadres incorrect
ERROR_NBFRAMES_MSG|Le nombre de cadres ne peut pas être inférieur à 1
ERROR_OTF_TITLE|OTF non supportée
ERROR_OTF_MSG|Vous avez sélectionné une police OpenType, VLC l'affichera correctement, mais Skin Editor ne peut pas l'afficher.\nVous pourriez voir une autre police dans l'aperçu.
ERROR_SIZE_INVALID_TITLE|Taille non valide
ERROR_SIZE_INVALID_MSG|Veuillez entrer une taille valide.
ERROR_OUTSIDE_TITLE|Dimensions non valides
ERROR_OUTSIDE_MSG|Les dimensions spécifiques sont en dehors du Bitmap parent !
ERROR_BITMAP_NEXIST|Le Bitmap %i n'existe pas.
ERROR_BITMAP_NEXIST_TITLE|Image non valide !
ERROR_BITMAP_LOAD|Le fichier image pour le Bitmap %i ne peut pas être chargé.
ERROR_BITMAP_LOAD_TITLE|Erreur lors du chargement des images
ERROR_NOSTATE|Veuillez fournir un état de condition valide !
ERROR_NOSTATE_TITLE|L'état est non valide
ERROR_FONT_NEXIST|La police %i n'existe pas.
ERROR_FONT_NEXIST_TITLE|Police non valide !
ERROR_POINTS_INVALID|Veuillez entrer des points de Bezier valides !
ERROR_POINTS_INVALID_TITLE|Points non valides !
ERROR_RADIALSLIDER|Lr curseur radial n'est pas encore pris en charge par Skin Editor.
ERROR_RADIALSLIDER_TITLE|Non supporté

#Other strings
THEMEINFO_NAME_DEFAULT|Thème sans nom
THEMEINFO_AUTHOR_DEFAULT|Auteur Inconnu
THEMEINFO_EMAIL_DEFAULT|Inconnu

#History
HIST_ITEM_ADD|Ajouter %t
HIST_ITEM_DEL|Supprimer %t
HIST_ITEM_EDIT|Editer %t
HIST_ITEM_MOVE|Déplacer %t
HIST_RES_DEL|Supprimer %t "%i"

#Editing dialogues
#General strings
NOTE_STARRED|* l'Attribut doit être spécifié.

#Common strings
WIN_ITEM_GENERAL|Attributs généraux
WIN_ITEM_ID|ID*:
WIN_ITEM_ID_TIP|Nom et identification de %t. Doit être unique.
WIN_ITEM_X|X :
WIN_ITEM_Y|Y :
WIN_ITEM_WIDTH|Largeur:
WIN_ITEM_HEIGHT|Hauteur:
WIN_ITEM_VISIBLE|Visibilité:
WIN_ITEM_LEFTTOP|Haut à Gauche :
WIN_ITEM_LEFTTOP_TIP|Indiquez à quel coin de la mise en page de cet article est rattaché le coin supérieur gauche, en cas de redimensionnement.
WIN_ITEM_RIGHTBOTTOM|Bas-à-droite :
WIN_ITEM_RIGHTBOTTOM_TIP|Indiquez à quel coin de la mise en page de cet article est rattaché le coin supérieur droit, en cas de redimensionnement.
WIN_ITEM_XKEEPRATIO|Garder le Ratio X :
WIN_ITEM_XKEEPRATIO_TIP|Lorsque la valeur est vraie, le comportement du redimensionnement horizontal est modifié. Par exemple, si l'espace initial situé à gauche du contrôle est deux fois plus grand que celui du côté droit, il restera le même durant tout redimensionnement horizontal. La largeur du contrôle reste constante.
WIN_ITEM_YKEEPRATIO|Garder le Ratio Y :
WIN_ITEM_YKEEPRATIO_TIP|Lorsque la valeur est vraie, le comportement du redimensionnement vertical est modifié. Par exemple, si l'espace initial situé en haut du contrôle est deux fois plus grand que celui du bas, il restera le même durant tout redimensionnement vertical. La hauteur du contrôle reste constante.
WIN_ITEM_HELP|Texte d'aide:
WIN_ITEM_HELP_TIP|La variable '$H' sera étendue à cette valeur lorsque la souris passera au-dessus du contrôle actuel.
WIN_ITEM_TOOLTIPTEXT|Info-bulle:
FILE_INDIR|dans le même dossier que le fichier XML

#Bitmap
WIN_BITMAP_TITLE|Paramètres du Bitmap
WIN_BITMAP_FILE|Fichier*:
WIN_BITMAP_FILE_TIP|Indique le chemin et le nom du fichier image utilisé.
WIN_BITMAP_OPEN|Ouvrir...
WIN_BITMAP_ALPHACOLOR|Transparence:
WIN_BITMAP_ALPHACOLOR_TIP|Couleur de transparence du Bitmap au format hexadécimal. Si votre fichier PNG spécifie un masque de transparence, il sera aussi pris en compte.
WIN_BITMAP_CHOOSE|Choisir...
WIN_BITMAP_NBFRAMES|Nombre de cadres:
WIN_BITMAP_NBFRAMES_TIP|Cet attribut est nécessaire pour définir l'animation des Bitmaps, c'est le nombre de cadres (images) contenus dans votre animation. Tous les cadres sont différents des images fixées verticalement dans le Bitmap.
WIN_BITMAP_FPS|Cadres par seconde:
WIN_BITMAP_FPS_TIP|Uniquement utilisé dans les Bitmaps animés ; c'est le nombre de cadres (images) par seconde de l'animation.
WIN_BITMAP_ANIMATION|Attributs de l'animation
WIN_BITMAP_CHOOSER_TITLE|Choisissez la couleur alpha

#SubBitmap
WIN_SBMP_TITLE|Paramètres de SousBitmap
WIN_SBMP_BOUNDS|Attributs de position et dimension

#Font
WIN_FONT_TITLE|Paramètres de police
WIN_FONT_FILE|Fichier*:
WIN_FONT_FILE_TIP|Le fichier conteneur utilise une police TrueType ou OpenType.
WIN_FONT_OPEN|Ouvrir...
WIN_FONT_SIZE|Taille:

#Layout
WIN_LAYOUT_TITLE|Paramètres de structure
WIN_LAYOUT_GENERAL|Attributs généraux
WIN_LAYOUT_DIMENSIONS|Dimensions
WIN_LAYOUT_WIDTH|Largeur initiale*:
WIN_LAYOUT_WIDTH_TIP|Largeur initiale de la structure.
WIN_LAYOUT_HEIGHT|Hauteur initiale*:
WIN_LAYOUT_HEIGHT_TIP|Hauteur initiale de la structure.
WIN_LAYOUT_MINWIDTH|Largeur minimum:
WIN_LAYOUT_MINWIDTH_TIP|Largeur minimum de la structure. Seulement utilisée lors du redimensionnement de la structure. Si cette valeur est réglée sur "-1", la largeur initiale sera utilisée comme largeur mini.
WIN_LAYOUT_MINHEIGHT|Hauteur minimum:
WIN_LAYOUT_MINHEIGHT_TIP|Hauteur minimum de la structure. Seulement utilisée lors du redimensionnement de la structure. Si cette valeur est réglée sur "-1", la hauteur initiale sera utilisée comme hauteur mini.
WIN_LAYOUT_MAXWIDTH|Largeur maximum:
WIN_LAYOUT_MAXWIDTH_TIP|Largeur maximale de la structure. Seulement utilisée lors du redimensionnement de la structure. Si cette valeur est réglée sur "-1", la largeur initiale sera utilisée comme largeur maxi.
WIN_LAYOUT_MAXHEIGHT|Hauteur maximum:
WIN_LAYOUT_MAXHEIGHT_TIP|Hauteur maximum de la structure. Seulement utilisée lors du redimensionnement de la structure. Si cette valeur est réglée sur "-1", la hauteur initiale sera utilisée comme hauteur maxi.

#Window
WIN_WINDOW_TITLE|Paramètres de fenêtre
WIN_WINDOW_X_TIP|Distance initiale de la fenêtre du bord gauche de l'écran.
WIN_WINDOW_Y_TIP|Distance initiale de la fenêtre du bord supérieur de l'écran.
WIN_WINDOW_VISIBLE_TIP|Indique si la fenêtre doit apparaître lorsque VLC est lancé. Maintenant, VLC se souvient de la position et l'apparence des fenêtres skinnées, cet attribut ne sera pas utilisé la première fois que le Skin lancé.
WIN_WINDOW_DD|Glissez-déposez:
WIN_WINDOW_DD_TIP|Indique si glisser-déposer des fichiers multimédia est autorisé sur cette fenêtre.
WIN_WINDOW_PD|Lecture déposé:
WIN_WINDOW_PD_TIP|Indique si un fichier déposé est lu directement (vrai) ou seulement en file d'attente (faux). Cet attribut n'a aucun effet si le glisser-déposer est réglé sur "faux".
WIN_WINDOW_DD_PANEL|Ooptions du glisser-déposer

#Anchor
WIN_ANCHOR_TITLE|Paramètres de l'ancre
WIN_ANCHOR_POINTS|Points:
